"SMILES","CASRN","RECORDID","MOLECULEID","EXTERNALID","N","NAME","NAME","INTRODUCER","MODIFIER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Ionizable centre (smiles)","pKa predicted value","UNIT {pKa predicted value}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","IC group given","Temperature","UNIT {Temperature}","COMMENTS","INCHI_KEY"
"COC1=CC=CN=C1C=O","-","R933204","M124445","-","-","2-FORMYL-3-METHOXYPYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","3.89","Log unit","3.89","Log unit","n1c(c(ccc1)OC)C=O","3.404","Log unit","0","3.5365","Log unit","","","-","-","GHKILJGWQPBQGL-UHFFFAOYSA"
"CC1=CC(O)=NC=C1","-","R933205","M32962","-","-","2-Hydroxy-4-methylpyridine","-","Koerner","charochkina","A3555","12767145","-","-","4.53","Log unit","4.53","Log unit","n1c(cc(cc1)C)O","5.292","Log unit","0","0.7164","Log unit","","","-","-","YBDRFJXGJQULGH-UHFFFAOYSA"
"OC1=NC2=C(N1)C=CC=C2","-","R933206","M22497","-","-","2-Hydroxybenzimidazole","-","Koerner","charochkina","A3555","12767145","-","-","2.4","Log unit","2.4","Log unit","n1c([nH]c2ccccc12)O","6.107","Log unit","0","3.3144","Log unit","","","-","-","SILNNFMWIMZVEQ-UHFFFAOYSA"
"CN1C(CO)=NC2=C1C=CC=C2","-","R933207","M124446","-","-","2-HYDROXYMETHYL-1-METHYLBENZIMIDAZOLE","-","Koerner","charochkina","A3555","12767145","-","-","5.55","Log unit","5.55","Log unit","n1c(n(c2ccccc12)C)CO","6.618","Log unit","0","4.6361","Log unit","","","-","-","SQRSIOZFPSFABI-UHFFFAOYSA"
"OCC1=NC2=C(N1)C=CC=C2","-","R933208","M74738","-","-","2-HYDROXYMETHYLBENZIMIDAZOLE","-","Koerner","charochkina","A3555","12767145","-","-","5.6","Log unit","5.6","Log unit","n1c([nH]c2ccccc12)CO","6.354","Log unit","0","4.7792","Log unit","","","-","-","IAJLTMBBAVVMQO-UHFFFAOYSA"
"NC1=CC=CC=C1I","-","R933209","M10934","-","-","2-Iodoaniline","-","Koerner","charochkina","A3555","12767145","-","-","2.54","Log unit","2.54","Log unit","Nc1ccccc1I","4.417","Log unit","0","3.2485","Log unit","","","-","-","UBPDKIDWEADHPP-UHFFFAOYSA"
"IC1=NC=CC=C1","-","R933210","M110744","-","-","2-Iodopyridine","-","Koerner","charochkina","A3555","12767145","-","-","1.82","Log unit","1.82","Log unit","n1c(cccc1)I","5.383","Log unit","0","1.6456","Log unit","","","-","-","CCZWSTFVHJPCEM-UHFFFAOYSA"
"CC(C)C1=NC2=C(N1)C=CC=C2","-","R933211","M124447","-","-","2-ISOPROPYLBENZIMIDAZOLE","-","Koerner","charochkina","A3555","12767145","-","-","6.21","Log unit","6.21","Log unit","n1c([nH]c2ccccc12)C(C)C","6.47","Log unit","0","6.082","Log unit","","","-","-","RITUGMAIQCZEOG-UHFFFAOYSA"
"CC(C)C1=NC=CC=C1","-","R933212","M23140","-","-","2-Isopropylpyridine","-","Koerner","charochkina","A3555","12767145","-","-","5.83","Log unit","5.83","Log unit","n1c(cccc1)C(C)C","5.689","Log unit","0","5.4626","Log unit","","","-","-","PFYPDUUXDADWKC-UHFFFAOYSA"
"NCCS","-","R933213","M17222","-","-","2-Mercaptoethylamine","-","Koerner","charochkina","A3555","12767145","-","-","10.53","Log unit","10.53","Log unit","NCCS","11.186","Log unit","0","10.3986","Log unit","","","-","-","UFULAYFCSOUIOV-UHFFFAOYSA"
